Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
179,Entry long,2025-04-22 10:30,Long,38926,33.62,1308692.12,652.23,0.05,3509.93,0.27,-1566.69,-0.12,154393.3,77.20
180,Exit long,2025-04-22 12:30,Exit Long,39242.6,28.96,1136338.272,127.42,0.01,1934.53,0.17,-1106.27,-0.10,154520.72,77.26
180,Entry long,2025-04-22 12:00,Long,39238.2,28.96,1136338.272,127.42,0.01,1934.53,0.17,-1106.27,-0.10,154520.72,77.26
181,Exit long,2025-04-29 11:30,Exit Long,40396.9,27.71,1122953.292,-3555.19,-0.32,410.11,0.04,-3555.19,-0.32,150965.53,75.48
181,Entry long,2025-04-29 10:45,Long,40525.2,27.71,1122953.292,-3555.19,-0.32,410.11,0.04,-3555.19,-0.32,150965.53,75.48
182,Exit long,2025-05-02 14:45,Exit Long,41267.4,29.26,1211007.028,-3522.9,-0.29,122.89,0.01,-3522.9,-0.29,147442.62,73.72
182,Entry long,2025-05-02 12:00,Long,41387.8,29.26,1211007.028,-3522.9,-0.29,122.89,0.01,-3522.9,-0.29,147442.62,73.72
183,Exit long,2025-05-16 15:30,Exit Long,42603.8,45.46,1931013.512,5755.24,0.30,8601.03,0.45,-1191.05,-0.06,153197.86,76.60
183,Entry long,2025-05-16 12:30,Long,42477.2,45.46,1931013.512,5755.24,0.30,8601.03,0.45,-1191.05,-0.06,153197.86,76.60
184,Exit long,2025-05-16 15:30,Exit Long Add,42603.8,159.14,6773571.304,6397.43,0.09,16359.59,0.24,-572.9,-0.01,159595.3,79.80
184,Entry long,2025-05-16 14:00,Long Add,42563.6,159.14,6773571.304,6397.43,0.09,16359.59,0.24,-572.9,-0.01,159595.3,79.80
185,Exit long,2025-05-27 15:00,Exit Long,42299.1,44.73,1887346.566,4692.18,0.25,7398.34,0.39,-1100.36,-0.06,164287.47,82.14
185,Entry long,2025-05-27 11:30,Long,42194.2,44.73,1887346.566,4692.18,0.25,7398.34,0.39,-1100.36,-0.06,164287.47,82.14
186,Exit long,2025-05-27 15:00,Exit Long Add,42299.1,156.58,6628219.296,-5026.22,-0.08,4446.87,0.07,-5026.22,-0.08,159261.25,79.63
186,Entry long,2025-05-27 13:45,Long Add,42331.2,156.58,6628219.296,-5026.22,-0.08,4446.87,0.07,-5026.22,-0.08,159261.25,79.63
187,Exit long,2025-06-03 14:00,Exit Long,42512.3,51.96,2202553.224,6385.88,0.29,9498.29,0.43,-924.89,-0.04,165647.14,82.82
187,Entry long,2025-06-03 11:00,Long,42389.4,51.96,2202553.224,6385.88,0.29,9498.29,0.43,-924.89,-0.04,165647.14,82.82
