Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
192,Entry long,2026-03-09 12:00,Long Add,24637.3,236.7,5831648.91,-781.11,-0.01,20450.88,0.35,-6674.94,-0.11,416452.03,208.23
193,Exit long,2026-03-10 13:30,Exit Long,25140.4,28.5,716207.85,293.55,0.04,1843.95,0.26,-2040.6,-0.28,416745.56,208.37
193,Entry long,2026-03-10 10:45,Long,25130.1,28.5,716207.85,293.55,0.04,1843.95,0.26,-2040.6,-0.28,416745.56,208.37
194,Exit long,2026-03-31 13:45,Exit Long,23557.5,20.6,485923.1,-638.6,-0.13,1983.78,0.41,-1687.14,-0.35,416106.97,208.05
194,Entry long,2026-03-31 12:30,Long,23588.5,20.6,485923.1,-638.6,-0.13,1983.78,0.41,-1687.14,-0.35,416106.97,208.05
195,Exit long,2026-04-06 10:00,Exit Long,24176.6,44.2,1071195.84,-2590.12,-0.24,1684.02,0.16,-6218.94,-0.58,413516.84,206.76
195,Entry long,2026-04-06 09:45,Long,24235.2,44.2,1071195.84,-2590.12,-0.24,1684.02,0.16,-6218.94,-0.58,413516.84,206.76
196,Exit long,2026-04-13 12:00,Exit Long,25139.4,44.4,1118662.44,-2473.08,-0.22,62.16,0.01,-2473.08,-0.22,411043.78,205.52
196,Entry long,2026-04-13 10:45,Long,25195.1,44.4,1118662.44,-2473.08,-0.22,62.16,0.01,-2473.08,-0.22,411043.78,205.52
197,Exit long,2026-04-13 16:00,Max Hold,25397.8,41.1,1036858.47,6991.11,0.67,7069.2,0.68,-1611.12,-0.16,418034.88,209.02
197,Entry long,2026-04-13 12:15,Long,25227.7,41.1,1036858.47,6991.11,0.67,7069.2,0.68,-1611.12,-0.16,418034.88,209.02
198,Exit long,2026-04-13 16:00,Max Hold,25397.8,411.5,10406135.45,45059.25,0.43,45841.1,0.44,-5843.3,-0.06,463094.12,231.55
198,Entry long,2026-04-13 14:45,Long Add,25288.3,411.5,10406135.45,45059.25,0.43,45841.1,0.44,-5843.3,-0.06,463094.12,231.55
199,Exit long,2026-04-14 14:00,Max Hold,25782.8,62.3,1597951.39,8317.05,0.52,10298.19,0.64,-2548.07,-0.16,471411.2,235.71
199,Entry long,2026-04-14 10:15,Long,25649.3,62.3,1597951.39,8317.05,0.52,10298.19,0.64,-2548.07,-0.16,471411.2,235.71
