exit_reason,pnl_price,bars_held,atr_at_entry,mfe_price,mae_price,mfe_R,mae_R,sim_R,sim_pnl_pct,timestamp_utc,block_TueH08,block_MonH08,block_MonH09,block_MonH12,block_TueH12,block_ThuH12,block_day,block_session,block_hour,strategy,block_TueH08_cohort_n,block_MonH08_cohort_n,block_MonH09_cohort_n,block_MonH12_cohort_n,block_TueH12_cohort_n,block_ThuH12_cohort_n,block_day_cohort_n,block_session_cohort_n,block_hour_cohort_n,thin_cohort_any,feed,panel_window,canonical_status,simulation_simplifications
stop,-3.3162912846601103,38,2.1395427642967397,3.730000000000018,3.849999999999909,1.1247504153973897,1.160935415356522,-1.0000000000000493,-0.3400000000000168,2024-07-04T09:30:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.155518386442509,34,2.0358183138338104,3.425000000000182,3.619999999999891,1.0854001088111531,1.14719661135651,-1.0000000000000324,-0.34000000000001107,2024-07-04T10:15:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.321662428010768,55,1.4978467277489114,18.73999999999978,8.88000000000011,8.071802245624532,3.8248454611071274,-0.9999999999999809,-0.33999999999999353,2024-07-04T22:45:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.067997462675976,48,1.3341919114039649,17.859999999999673,9.760000000000218,8.63637423272632,4.719541573987252,-0.999999999999918,-0.3399999999999721,2024-07-05T00:30:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.200123930845166,9,2.0645960844161193,11.324999999999818,16.295000000000073,3.5389254431185355,5.091990295418783,-1.0000000000000564,-0.3400000000000192,2024-07-05T10:15:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.118155842327724,5,2.011713446663065,11.074999999999818,16.545000000000073,3.551778859048995,5.306020877920258,-0.9999999999999913,-0.3399999999999971,2024-07-05T11:15:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.278681568129741,3,2.1152784310513155,10.284999999999854,17.335000000000036,3.136931655692127,5.287186217931347,-1.0000000000000617,-0.340000000000021,2024-07-05T11:45:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.3691296482861617,9,2.173632031152461,4.349999999999909,3.394999999999982,1.2911346413197566,1.0076786453518718,-0.9999999999999545,-0.33999999999998454,2024-07-08T00:15:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.1967285385462674,3,2.0624055087396225,1.2400000000002365,3.974999999999909,0.38789655895025643,1.2434587272797903,-0.9999999999999539,-0.33999999999998437,2024-07-08T05:00:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-4.184397538571375,3,2.6996113152072745,1.7800000000002,5.070000000000164,0.4253897923398466,1.2116439590802526,-1.0000000000000238,-0.34000000000000813,2024-07-08T13:00:00+00:00,0,0,1,0,0,0,0,0,1,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
