trade_num,signal,date_and_time,pnl_uncapped,pnl,cap_touched,mae
184,Long Add,2025-06-27 11:15,43847.3200,43847.3200,False,-99.8800
185,Long,2025-06-27 12:15,-3893.2900,-3893.2900,False,-3893.2900
186,Long,2025-07-01 10:00,15054.1200,15054.1200,False,-318.0000
187,Long,2025-07-01 12:00,-3991.5500,-3991.5500,False,-3991.5500
188,Long,2025-08-12 10:00,147.6300,147.6300,False,-3239.8800
189,Long,2025-08-19 10:15,-3962.6400,-3962.6400,False,-3962.6400
190,Long,2025-08-22 10:45,246.3500,246.3500,False,-2539.3000
191,Long,2025-09-09 11:15,-3923.1200,-3923.1200,False,-3923.1200
192,Long,2025-09-23 09:45,-3894.5600,-3894.5600,False,-4193.5200
193,Long,2025-10-03 09:45,13912.9400,13912.9400,False,-2721.9400
194,Long,2025-10-03 12:00,143.1000,143.1000,False,-1319.7000
195,Long,2025-10-14 10:15,13930.2000,13930.2000,False,-664.5600
196,Long Add,2025-10-14 11:45,15953.7000,15953.7000,False,-6779.0800
197,Long,2025-10-21 10:30,8123.2200,8123.2200,False,-1240.2800
198,Long,2025-10-24 09:45,-4367.4900,-4367.4900,False,-4367.4900
199,Long,2025-11-04 09:45,2983.5600,2983.5600,False,-11.2800
200,Long,2025-11-11 11:45,11561.5500,11561.5500,False,-411.4000
201,Long Add,2025-11-11 13:15,-10197.2000,-10197.2000,False,-10197.2000
202,Long,2025-11-14 11:15,165.6000,165.6000,False,-2628.9000
203,Long,2025-11-21 11:15,7758.7200,7758.7200,False,-696.9600
204,Long,2025-11-25 10:30,168.0000,168.0000,False,-4441.9200
205,Long,2025-11-25 11:45,12883.1400,12883.1400,False,-6.8400
206,Long Add,2025-11-25 14:00,28392.3200,28392.3200,False,-4232.4700
207,Long,2025-11-28 10:15,1268.3600,1268.3600,False,-17.1400
208,Long,2025-12-02 10:00,-7767.7600,-6000.0000,True,-8215.9000
209,Long,2025-12-05 10:00,-4798.1400,-4798.1400,False,-4798.1400
210,Long,2025-12-09 09:30,2715.6600,2715.6600,False,-3570.1200
211,Long,2025-12-23 10:30,971.1400,971.1400,False,-4394.8200
212,Long,2026-01-06 09:30,9199.8900,9199.8900,False,-3058.0400
213,Long,2026-01-06 11:15,13917.1200,13917.1200,False,-2480.6400
214,Long Add,2026-01-06 12:45,8001.2800,8001.2800,False,-4639.0400
215,Long,2026-01-09 11:45,161.8400,161.8400,False,-580.7200
216,Long,2026-01-20 10:30,-5093.7900,-5093.7900,False,-5093.7900
217,Long,2026-02-06 10:30,15549.4500,15549.4500,False,-5864.6000
218,Long Add,2026-02-06 12:45,30517.2300,30517.2300,False,-5021.0900
219,Long,2026-02-10 09:30,10237.2800,10237.2800,False,-2546.2400
220,Long,2026-03-10 10:45,217.1600,217.1600,False,-3093.6400
221,Long,2026-03-24 11:15,-5587.8200,-5587.8200,False,-5587.8200
222,Long,2026-03-31 12:30,-23.4900,-23.4900,False,-4577.9400
223,Long,2026-04-17 09:45,9642.5000,9642.5000,False,-1054.5000
224,Long,2026-04-17 11:45,211.9500,211.9500,False,-1657.9200
