utc_window,ret_XAUUSD,ret_US30USD,ret_USDJPY,sigma_threshold,feed,panel_window,canonical_status,threshold_sigma,long_only_universe
2025-02-07 15:45:00+00:00,-0.0015020486879084108,-0.002388339579008958,-0.0016763910048074036,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-21 14:30:00+00:00,-0.0017798118848315258,-0.001045802361221133,-0.0008721617846955135,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-24 14:15:00+00:00,-0.0027267738581278154,-0.0009973347916361725,-0.0009217021417528584,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-24 14:45:00+00:00,-0.0014214256774012918,-0.0022990629953885083,-0.0010441628236139556,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-25 14:45:00+00:00,-0.0020692640039947506,-0.0016145385331746778,-0.0012326245070970018,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-25 15:00:00+00:00,-0.0016738690151734343,-0.00387726630568553,-0.002059995561717271,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-25 15:15:00+00:00,-0.006041331225247126,-0.0017619199333154638,-0.0015057409206671666,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-25 16:15:00+00:00,-0.0008786853775704641,-0.0017027547315739025,-0.0008324271100033525,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-27 14:45:00+00:00,-0.003293195278704634,-0.0021096376955666196,-0.0009879181098532129,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-27 19:30:00+00:00,-0.0009751003199961188,-0.002958820287927993,-0.0012474027959687522,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-27 20:00:00+00:00,-0.001548425078265487,-0.0019603282100467056,-0.0011483663749149652,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-02-28 16:15:00+00:00,-0.001173611251909639,-0.0023962482549801305,-0.0009109860890082993,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-03 08:15:00+00:00,-0.0012699989391312708,-0.002293869529503235,-0.0011455975676766237,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-04 15:45:00+00:00,-0.0011194136886225042,-0.002000127733690104,-0.0012327758212675043,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-05 14:45:00+00:00,-0.0009422054653312446,-0.002955251236087813,-0.0015891189122901291,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-06 10:45:00+00:00,-0.0010238291065406994,-0.0011739212426200216,-0.0007841759119043139,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2025-03-07 13:45:00+00:00,-0.0031575087246096274,-0.0036095392060124802,-0.0015270338812907736,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
