exit_date_ny,guardian_R,guardian_pnl_usd,guardian_n_trades,striker_R,striker_pnl_usd,striker_n_trades,aegis_R,aegis_pnl_usd,aegis_n_trades,portfolio_R
2024-12-04,-0.7647058823529411,-1343.07,1,0.0,0.0,0,-0.02,-789.67,1,-0.7847058823529411
2024-12-05,-0.5882352941176471,-1342.08,1,0.0,0.0,0,0.0,0.0,0,-0.5882352941176471
2024-12-10,0.0,0.0,0,0.0,113.76,1,0.0,0.0,0,0.0
2024-12-17,0.0,0.0,0,0.0,0.0,0,0.15333333333333335,8103.23,1,0.15333333333333335
2024-12-20,0.0,0.0,0,1.48,20357.839999999997,2,0.0,0.0,0,1.48
2024-12-23,0.0,0.0,0,0.0,0.0,0,0.08666666666666667,6163.38,1,0.08666666666666667
2024-12-24,0.0,0.0,0,-0.09,-2619.84,2,0.0,0.0,0,-0.09
2024-12-26,-0.3529411764705882,-1335.24,1,0.0,0.0,0,0.0,0.0,0,-0.3529411764705882
2024-12-27,-0.411764705882353,-1316.48,1,0.0,0.0,0,0.0,0.0,0,-0.411764705882353
2025-01-05,-0.5588235294117647,-1328.63,1,0.0,0.0,0,0.0,0.0,0,-0.5588235294117647
2025-01-17,6.911764705882352,8224.7,1,0.0,232.07999999999998,2,0.0,0.0,0,6.911764705882352
2025-01-20,-0.5882352941176471,-1342.04,1,0.0,0.0,0,0.0,0.0,0,-0.5882352941176471
2025-01-28,0.0,0.0,0,0.01,126.31,1,0.0,0.0,0,0.01
2025-01-31,11.470588235294116,25149.73,1,0.0,0.0,0,0.0,0.0,0,11.470588235294116
2025-02-03,0.0,0.0,0,0.0,0.0,0,0.24666666666666667,9111.48,1,0.24666666666666667
2025-02-05,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,240.39,1,0.006666666666666667
2025-02-07,0.0,0.0,0,-0.47,-12933.29,1,0.0,0.0,0,-0.47
2025-02-11,0.0,0.0,0,0.05,1259.04,1,0.0,0.0,0,0.05
2025-02-19,0.0,0.0,0,0.0,0.0,0,-0.006666666666666667,-248.08,1,-0.006666666666666667
2025-02-20,8.058823529411763,21955.629999999997,2,0.0,0.0,0,0.0,0.0,0,8.058823529411763
2025-02-24,0.0,0.0,0,0.0,0.0,0,-0.02666666666666667,-1170.71,1,-0.02666666666666667
2025-02-25,-0.7647058823529411,-1512.91,1,0.0,0.0,0,0.0,0.0,0,-0.7647058823529411
2025-02-26,0.0,0.0,0,0.0,0.0,0,-0.03333333333333333,-1270.09,1,-0.03333333333333333
2025-03-03,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,240.38,1,0.006666666666666667
