date,daily_contrib,rolling_sharpe,strategy,window
2022-10-04,0.0001,1.6375027228762231,striker,90
2022-10-05,0.0,1.6375027228762231,striker,90
2022-10-06,0.0,1.6375027228762231,striker,90
2022-10-07,0.0,1.6375027228762231,striker,90
2022-10-10,0.0,1.6375027228762231,striker,90
2022-10-11,0.000299999999999999,1.6805009501327917,striker,90
2022-10-12,0.0,1.6805009501327917,striker,90
2022-10-13,0.0,1.6805009501327917,striker,90
2022-10-14,0.0,1.6805009501327917,striker,90
2022-10-17,0.0,1.6805009501327917,striker,90
2022-10-18,0.0,1.6805009501327917,striker,90
2022-10-19,0.0,1.6805009501327917,striker,90
2022-10-20,0.0,1.6805009501327917,striker,90
2022-10-21,0.0002,1.7240712385661234,striker,90
2022-10-24,0.0,1.7240712385661234,striker,90
2022-10-25,-0.0028000000000000004,0.9408733640360364,striker,90
2022-10-26,0.0,0.9408733640360364,striker,90
2022-10-27,0.0,0.9408733640360364,striker,90
2022-10-28,0.0,0.9204188226539676,striker,90
2022-10-31,0.0,0.9204188226539676,striker,90
2022-11-01,0.0,0.9204188226539676,striker,90
2022-11-02,0.0,0.9204188226539676,striker,90
2022-11-03,0.0,0.9204188226539676,striker,90
2022-11-04,0.0005,1.0211672433212646,striker,90
2022-11-07,0.0,1.0211672433212646,striker,90
2022-11-08,0.0015,1.3074026406839325,striker,90
2022-11-09,0.0,1.3074026406839325,striker,90
2022-11-10,0.0,1.3074026406839325,striker,90
2022-11-11,0.0,1.3074026406839325,striker,90
2022-11-14,0.0,1.3074026406839325,striker,90
2022-11-15,0.0,1.3074026406839325,striker,90
2022-11-16,0.0,1.3074026406839325,striker,90
2022-11-17,0.0,1.3074026406839325,striker,90
2022-11-18,0.0,1.2872480033116096,striker,90
2022-11-21,0.0,1.2872480033116096,striker,90
2022-11-22,0.0001,0.895346773179691,striker,90
2022-11-23,0.0,0.8953467731796908,striker,90
2022-11-24,0.0,0.8953467731796908,striker,90
2022-11-25,0.0,0.8953467731796908,striker,90
2022-11-28,0.0,0.8953467731796908,striker,90
2022-11-29,-0.0021,0.4425518528415738,striker,90
2022-11-30,0.0,0.4425518528415739,striker,90
2022-12-01,0.0,0.4425518528415739,striker,90
2022-12-02,0.0,0.40241005063625906,striker,90
2022-12-05,0.0,0.40241005063625906,striker,90
2022-12-06,0.0,1.00213385254429,striker,90
2022-12-07,0.0,1.00213385254429,striker,90
2022-12-08,0.0,1.00213385254429,striker,90
2022-12-09,0.0,1.00213385254429,striker,90
2022-12-12,0.0,1.00213385254429,striker,90
2022-12-13,0.0,1.00213385254429,striker,90
2022-12-14,0.0,1.00213385254429,striker,90
2022-12-15,0.0,1.00213385254429,striker,90
2022-12-16,0.0001,1.0234605172882427,striker,90
2022-12-19,0.0,1.0234605172882427,striker,90
2022-12-20,0.0005,-0.6413710965267204,striker,90
2022-12-21,0.0,-0.6413710965267204,striker,90
2022-12-22,0.0,-0.6413710965267204,striker,90
2022-12-23,0.0,-0.6413710965267204,striker,90
2022-12-26,0.0,-0.6413710965267204,striker,90
2022-12-27,0.0,-0.6413710965267204,striker,90
2022-12-28,0.0,-0.6413710965267204,striker,90
2022-12-29,0.0,-0.6413710965267204,striker,90
2022-12-30,0.0,-0.6413710965267204,striker,90
2023-01-02,0.0,-0.6413710965267204,striker,90
2023-01-03,0.0,-0.6413710965267204,striker,90
2023-01-04,0.0,-0.6413710965267204,striker,90
2023-01-05,0.0,-0.6413710965267204,striker,90
2023-01-06,-0.0012,-1.1465665468324704,striker,90
2023-01-09,0.0,-1.1465665468324704,striker,90
2023-01-10,0.0,-1.1465665468324704,striker,90
2023-01-11,0.0,-1.1465665468324704,striker,90
2023-01-12,0.0,-1.1465665468324704,striker,90
2023-01-13,0.0001,-1.1050787775557127,striker,90
2023-01-16,0.0,-1.1050787775557127,striker,90
2023-01-17,0.0,-1.1050787775557127,striker,90
2023-01-18,0.0,-1.1050787775557127,striker,90
2023-01-19,0.0,-1.1050787775557127,striker,90
2023-01-20,0.0001,-1.0636388328537174,striker,90
2023-01-23,0.0,-1.0636388328537174,striker,90
2023-01-24,0.0001,-1.022245769616719,striker,90
2023-01-25,0.0,-1.022245769616719,striker,90
2023-01-26,0.0,-1.022245769616719,striker,90
2023-01-27,-0.0018,-1.6135378306607435,striker,90
2023-01-30,0.0,-1.6135378306607435,striker,90
2023-01-31,0.0,-1.6135378306607435,striker,90
2023-02-01,0.0,-1.6135378306607435,striker,90
2023-02-02,0.0,-1.6135378306607435,striker,90
2023-02-03,-0.0001,-1.6510479728827119,striker,90
2023-02-06,0.0,-1.6510479728827119,striker,90
2023-02-07,0.0,-1.6894263417547424,striker,90
2023-02-08,0.0,-1.6894263417547424,striker,90
2023-02-09,0.0,-1.6894263417547424,striker,90
2023-02-10,0.0001,-1.6510479728827119,striker,90
2023-02-13,0.0,-1.6510479728827119,striker,90
2023-02-14,0.0,-1.7690402843215376,striker,90
2023-02-15,0.0,-1.7690402843215376,striker,90
2023-02-16,0.0,-1.7690402843215376,striker,90
2023-02-17,-0.0022,-2.338752817219527,striker,90
2023-02-20,0.0,-2.338752817219527,striker,90
2023-02-21,0.0,-2.338752817219527,striker,90
2023-02-22,0.0,-2.338752817219527,striker,90
2023-02-23,0.0,-2.338752817219527,striker,90
2023-02-24,0.0,-2.4101009374741236,striker,90
2023-02-27,0.0,-2.4101009374741236,striker,90
2023-02-28,0.0,-1.7591127134914821,striker,90
2023-03-01,0.0,-1.7591127134914821,striker,90
2023-03-02,0.0,-1.7591127134914821,striker,90
2023-03-03,0.0,-1.7591127134914821,striker,90
2023-03-06,0.0,-1.7591127134914821,striker,90
2023-03-07,0.0,-1.7591127134914821,striker,90
2023-03-08,0.0,-1.7591127134914821,striker,90
2023-03-09,0.0,-1.7591127134914821,striker,90
2023-03-10,0.0,-1.981743814092382,striker,90
2023-03-13,0.0,-1.981743814092382,striker,90
2023-03-14,0.0,-2.8210591934313936,striker,90
2023-03-15,0.0,-2.8210591934313936,striker,90
2023-03-16,0.0,-2.8210591934313936,striker,90
2023-03-17,0.0,-2.8210591934313936,striker,90
2023-03-20,0.0,-2.8210591934313936,striker,90
2023-03-21,0.0,-2.8210591934313936,striker,90
2023-03-22,0.0,-2.8210591934313936,striker,90
2023-03-23,0.0,-2.8210591934313936,striker,90
2023-03-24,0.0001,-2.773882173192827,striker,90
2023-03-27,0.0,-2.773882173192827,striker,90
2023-03-28,-0.0016,-3.274490545130721,striker,90
2023-03-29,0.0,-3.274490545130721,striker,90
2023-03-30,0.0,-3.274490545130721,striker,90
2023-03-31,0.0022,-2.0556538642077116,striker,90
2023-04-03,0.0,-2.0556538642077116,striker,90
2023-04-04,0.0,-1.4487985760593407,striker,90
2023-04-05,0.0,-1.4487985760593407,striker,90
2023-04-06,0.0,-1.4487985760593407,striker,90
2023-04-07,0.0,-1.4487985760593407,striker,90
2023-04-10,0.0,-1.4487985760593407,striker,90
2023-04-11,0.0005,-1.237226794929301,striker,90
2023-04-12,0.0,-1.237226794929301,striker,90
2023-04-13,0.0,-1.237226794929301,striker,90
2023-04-14,0.0,-1.237226794929301,striker,90
2023-04-17,0.0,-1.237226794929301,striker,90
2023-04-18,0.0,-1.237226794929301,striker,90
2023-04-19,0.0,-1.237226794929301,striker,90
2023-04-20,0.0,-1.237226794929301,striker,90
2023-04-21,0.0,-1.277762286205912,striker,90
2023-04-24,0.0,-1.277762286205912,striker,90
2023-04-25,0.0,-1.4898323372013258,striker,90
2023-04-26,0.0,-1.4898323372013258,striker,90
2023-04-27,0.0,-1.4898323372013258,striker,90
2023-04-28,0.000999999999999999,-1.054605854944992,striker,90
2023-05-01,0.0,-1.054605854944992,striker,90
2023-05-02,0.0,-1.054605854944992,striker,90
2023-05-03,0.0,-1.054605854944992,striker,90
2023-05-04,0.0,-1.054605854944992,striker,90
2023-05-05,0.0,-1.054605854944992,striker,90
2023-05-08,0.0,-1.054605854944992,striker,90
2023-05-09,-0.0019,-1.6467761835064625,striker,90
2023-05-10,0.0,-1.6467761835064625,striker,90
2023-05-11,0.0,-1.6467761835064625,striker,90
2023-05-12,0.0,-1.2565742139344016,striker,90
2023-05-15,0.0,-1.2565742139344016,striker,90
2023-05-16,0.0,-1.2565742139344016,striker,90
2023-05-17,0.0,-1.2565742139344016,striker,90
2023-05-18,0.0,-1.2565742139344016,striker,90
2023-05-19,0.0,-1.2940963046202703,striker,90
2023-05-22,0.0,-1.2940963046202703,striker,90
2023-05-23,0.0,-1.2940963046202703,striker,90
2023-05-24,0.0,-1.2940963046202703,striker,90
2023-05-25,0.0,-1.2940963046202703,striker,90
2023-05-26,-0.0026000000000000003,-1.9961079526431134,striker,90
2023-05-29,0.0,-1.9961079526431134,striker,90
2023-05-30,0.0,-2.029210789750663,striker,90
2023-05-31,0.0,-2.029210789750663,striker,90
2023-06-01,0.0,-2.029210789750663,striker,90
2023-06-02,0.0,-1.5392601415044078,striker,90
2023-06-05,0.0,-1.5392601415044078,striker,90
2023-06-06,-0.0016,-1.9892567226136852,striker,90
2023-06-07,0.0,-1.9892567226136852,striker,90
2023-06-08,0.0,-1.9892567226136852,striker,90
2023-06-09,0.0,-1.95651654458819,striker,90
2023-06-12,0.0,-1.95651654458819,striker,90
2023-06-13,0.0,-1.95651654458819,striker,90
2023-06-14,0.0,-1.95651654458819,striker,90
2023-06-15,0.0,-1.95651654458819,striker,90
2023-06-16,0.0,-1.990021187594189,striker,90
2023-06-19,0.0,-1.990021187594189,striker,90
2023-06-20,0.0,-1.990021187594189,striker,90
2023-06-21,0.0,-1.990021187594189,striker,90
2023-06-22,0.0,-1.990021187594189,striker,90
2023-06-23,0.0,-1.4021597644497503,striker,90
2023-06-26,0.0,-1.4021597644497503,striker,90
2023-06-27,0.0006,-1.1753028349576733,striker,90
2023-06-28,0.0,-1.1753028349576733,striker,90
