exit_time,rolling_pf,strategy
2024-03-08 10:15:00,1.8429752066115699,striker
2024-03-12 11:15:00,1.8471074380165293,striker
2024-03-19 13:00:00,2.0950413223140494,striker
2024-03-19 13:00:00,2.0950413223140494,striker
2024-04-05 11:30:00,2.1504424778761058,striker
2024-04-05 13:00:00,2.1725663716814156,striker
2024-04-23 11:00:00,2.2427184466019416,striker
2024-04-26 10:30:00,2.0352422907488985,striker
2024-04-26 15:30:00,1.878048780487805,striker
2024-05-07 10:30:00,2.0352422907488985,striker
2024-05-21 10:45:00,2.2985074626865676,striker
2024-05-24 11:30:00,2.1095890410958904,striker
2024-06-04 10:15:00,1.6078431372549022,striker
2024-06-07 10:45:00,1.6470588235294121,striker
2024-06-21 10:30:00,1.6519607843137258,striker
2024-07-09 13:15:00,1.6649484536082475,striker
2024-07-12 10:45:00,1.6564102564102563,striker
2024-07-12 12:00:00,1.7128205128205127,striker
2024-07-12 14:00:00,1.7405405405405403,striker
2024-07-16 11:30:00,1.8298969072164948,striker
2024-07-16 11:30:00,1.8298969072164948,striker
2024-07-26 10:30:00,1.9944751381215469,striker
2024-07-26 13:30:00,2.022099447513812,striker
2024-08-06 11:15:00,2.2515337423312882,striker
2024-08-13 13:45:00,2.534722222222222,striker
2024-08-16 15:00:00,2.534722222222222,striker
2024-08-23 11:45:00,2.1726190476190474,striker
2024-09-13 10:30:00,1.7738095238095233,striker
2024-09-13 11:00:00,1.5684210526315785,striker
2024-09-13 12:00:00,1.5736842105263156,striker
2024-09-17 10:45:00,1.4444444444444442,striker
2024-09-20 13:15:00,1.4492753623188401,striker
2024-09-27 11:30:00,1.6231884057971009,striker
2024-10-11 12:00:00,1.458715596330275,striker
2024-10-11 12:00:00,1.458715596330275,striker
2024-10-18 13:45:00,1.6173469387755097,striker
2024-10-22 11:45:00,1.6224489795918364,striker
2024-10-22 13:00:00,1.6224489795918364,striker
2024-11-01 10:30:00,1.396396396396396,striker
2024-11-05 10:45:00,1.5432692307692306,striker
2024-11-08 11:30:00,1.6442307692307692,striker
2024-11-12 09:45:00,1.478260869565217,striker
2024-11-19 13:15:00,1.4826086956521733,striker
2024-11-22 10:00:00,1.3531746031746028,striker
2024-11-29 12:45:00,1.3953488372093021,striker
2024-11-29 12:45:00,1.3953488372093021,striker
2024-12-10 11:45:00,1.3953488372093021,striker
2024-12-20 12:30:00,1.9563492063492063,striker
2024-12-20 12:30:00,1.9563492063492063,striker
2024-12-24 11:15:00,1.860377358490566,striker
2024-12-24 12:30:00,1.8754716981132076,striker
2025-01-17 11:00:00,1.7811320754716982,striker
2025-01-17 12:00:00,1.7811320754716982,striker
2025-01-28 11:15:00,1.8519999999999999,striker
2025-02-07 10:00:00,1.558922558922559,striker
2025-02-11 12:00:00,1.5757575757575757,striker
2025-03-14 12:00:00,1.6953405017921146,striker
2025-03-21 13:15:00,1.4802867383512541,striker
2025-04-01 12:30:00,1.4874551971326162,striker
2025-04-22 11:30:00,1.7531380753138075,striker
2025-04-22 12:30:00,1.7573221757322175,striker
2025-04-29 11:30:00,1.5498154981549817,striker
2025-05-02 14:45:00,1.3999999999999997,striker
2025-05-16 15:30:00,1.53,striker
2025-05-16 15:30:00,1.53,striker
2025-05-27 15:00:00,1.6689655172413793,striker
2025-05-27 15:00:00,1.6689655172413793,striker
2025-06-03 14:00:00,1.764705882352941,striker
2025-06-03 14:00:00,1.764705882352941,striker
2025-06-27 12:15:00,2.124567474048443,striker
2025-06-27 12:15:00,2.124567474048443,striker
2025-06-27 13:00:00,2.0264026402640267,striker
2025-07-01 11:15:00,2.2937293729372943,striker
2025-07-01 12:30:00,2.2970297029702973,striker
2025-08-12 11:15:00,2.0443686006825943,striker
2025-08-19 10:45:00,2.1091549295774645,striker
2025-08-22 12:15:00,2.116197183098591,striker
2025-09-09 11:45:00,2.1546762589928057,striker
2025-09-23 10:15:00,2.066176470588235,striker
2025-10-03 10:45:00,2.2132352941176467,striker
2025-10-03 12:45:00,2.216911764705882,striker
2025-10-14 15:30:00,2.777777777777778,striker
2025-10-14 15:30:00,2.777777777777778,striker
2025-10-21 11:15:00,2.8773946360153255,striker
2025-10-24 10:30:00,2.711191335740072,striker
2025-11-04 10:45:00,2.852589641434262,striker
2025-11-11 14:00:00,3.1458333333333326,striker
2025-11-11 14:00:00,3.1458333333333326,striker
